FileIndex,FileName,Time,ClassID,Probability,ClassName,MasksApplied
0,"ECU_030_032_CL_inverted_173_[x=4298,y=2628,w=256,h=298]_obj_1_1.png",,7,0.9817555,unclassifiable,False
2,"ECU_030_032_CL_inverted_213_[x=7056,y=3307,w=271,h=344]_obj_1_1.png",,7,0.94526005,unclassifiable,False
